DATAFLOW,REF_AREA,SEX,TIME_PERIOD,OBS_VALUE
STAT:DF_POP(1.0),CA,T,2020,38000000
STAT:DF_POP(1.0),CA,M,2020,18700000
STAT:DF_POP(1.0),CA,F,2020,19300000
STAT:DF_POP(1.0),CA,T,2021,38400000
STAT:DF_POP(1.0),CA,M,2021,18900000
STAT:DF_POP(1.0),CA,F,2021,19500000
STAT:DF_POP(1.0),CA,T,2022,38900000
STAT:DF_POP(1.0),CA,M,2022,19200000
STAT:DF_POP(1.0),CA,F,2022,19700000
STAT:DF_POP(1.0),CA,T,2023,39500000
STAT:DF_POP(1.0),CA,M,2023,19500000
STAT:DF_POP(1.0),CA,F,2023,20000000
STAT:DF_POP(1.0),CA,T,2024,40100000
STAT:DF_POP(1.0),CA,M,2024,19800000
STAT:DF_POP(1.0),CA,F,2024,20300000
STAT:DF_POP(1.0),QC,T,2020,8600000
STAT:DF_POP(1.0),QC,M,2020,4200000
STAT:DF_POP(1.0),QC,F,2020,4400000
STAT:DF_POP(1.0),QC,T,2021,8700000
STAT:DF_POP(1.0),QC,M,2021,4240000
STAT:DF_POP(1.0),QC,F,2021,4460000
STAT:DF_POP(1.0),QC,T,2022,8750000
STAT:DF_POP(1.0),QC,M,2022,4280000
STAT:DF_POP(1.0),QC,F,2022,4470000
STAT:DF_POP(1.0),QC,T,2023,8800000
STAT:DF_POP(1.0),QC,M,2023,4300000
STAT:DF_POP(1.0),QC,F,2023,4500000
STAT:DF_POP(1.0),QC,T,2024,8900000
STAT:DF_POP(1.0),QC,M,2024,4340000
STAT:DF_POP(1.0),QC,F,2024,4560000
STAT:DF_POP(1.0),ON,T,2020,14700000
STAT:DF_POP(1.0),ON,M,2020,7200000
STAT:DF_POP(1.0),ON,F,2020,7500000
STAT:DF_POP(1.0),ON,T,2021,14900000
STAT:DF_POP(1.0),ON,M,2021,7300000
STAT:DF_POP(1.0),ON,F,2021,7600000
STAT:DF_POP(1.0),ON,T,2022,15100000
STAT:DF_POP(1.0),ON,M,2022,7400000
STAT:DF_POP(1.0),ON,F,2022,7700000
STAT:DF_POP(1.0),ON,T,2023,15300000
STAT:DF_POP(1.0),ON,M,2023,7500000
STAT:DF_POP(1.0),ON,F,2023,7800000
STAT:DF_POP(1.0),ON,T,2024,15500000
STAT:DF_POP(1.0),ON,M,2024,7600000
STAT:DF_POP(1.0),ON,F,2024,7900000
STAT:DF_POP(1.0),BC,T,2020,5100000
STAT:DF_POP(1.0),BC,M,2020,2500000
STAT:DF_POP(1.0),BC,F,2020,2600000
STAT:DF_POP(1.0),BC,T,2021,5200000
STAT:DF_POP(1.0),BC,M,2021,2550000
STAT:DF_POP(1.0),BC,F,2021,2650000
STAT:DF_POP(1.0),BC,T,2022,5300000
STAT:DF_POP(1.0),BC,M,2022,2600000
STAT:DF_POP(1.0),BC,F,2022,2700000
STAT:DF_POP(1.0),BC,T,2023,5400000
STAT:DF_POP(1.0),BC,M,2023,2650000
STAT:DF_POP(1.0),BC,F,2023,2750000
STAT:DF_POP(1.0),BC,T,2024,5500000
STAT:DF_POP(1.0),BC,M,2024,2700000
STAT:DF_POP(1.0),BC,F,2024,2800000
STAT:DF_POP(1.0),AB,T,2020,4400000
STAT:DF_POP(1.0),AB,M,2020,2200000
STAT:DF_POP(1.0),AB,F,2020,2200000
STAT:DF_POP(1.0),AB,T,2021,4450000
STAT:DF_POP(1.0),AB,M,2021,2230000
STAT:DF_POP(1.0),AB,F,2021,2220000
STAT:DF_POP(1.0),AB,T,2022,4500000
STAT:DF_POP(1.0),AB,M,2022,2250000
STAT:DF_POP(1.0),AB,F,2022,2250000
STAT:DF_POP(1.0),AB,T,2023,4550000
STAT:DF_POP(1.0),AB,M,2023,2270000
STAT:DF_POP(1.0),AB,F,2023,2280000
STAT:DF_POP(1.0),AB,T,2024,4600000
STAT:DF_POP(1.0),AB,M,2024,2300000
STAT:DF_POP(1.0),AB,F,2024,2300000
